№;Организатор / имя;Вид деятельности;Город;Контакты (сводно);Telegram;Email;WhatsApp;Телефон;Instagram;Сайт;Событий;Статус
25;Выставка KEDUNGWUNI 104/208 в Masa Masa Bali;Выставки;Сукавати, Bali;IG: @masamasabali;;;;;@masamasabali;;2;
26;13-летие Old Man's;Вечеринки;Чангу, Bali;IG: @oldmansbali;;;;;@oldmansbali;;2;
27;@ok_roxanne;Разговорный клуб;Чангу, Bali;TG: @ok_roxanne;@ok_roxanne;;;;;;2;
28;🎬 Культовое кино в Ash Nuanu;Киноклуб;Балиан, Bali;IG: @ash_nuanu | Сайт: https://megatix.co.id/events/ash-nuanu-pass?aid=BALIFORUM;;;;;@ash_nuanu;https://megatix.co.id/events/ash-nuanu-pass?aid=BALIFORUM;1;
29;Квиз Эйнштейн Пати;Игры и квизы;Беноа (Нуса Дуа), Bali;Тел: +6287725305496;;;;+6287725305496;;;1;архив
30;Квиз, плиз!;Вечеринки;Букит, Bali;Сайт: https://bali.quizplease.com;;;;;;https://bali.quizplease.com;1;архив
31;Вечеринка Sun Down Circle в Potato Head;Вечеринки;Далунг, Bali;Тел: +03614737979 | IG: @potatohead;;;;+03614737979;@potatohead;;1;архив
32;@alenaokami;Мастер-классы;Дананг;TG: @alenaokami;@alenaokami;;;;;;1;
33;@doit_hard;Вечеринки;Дананг;TG: @doit_hard;@doit_hard;;;;;;1;
34;@elenadrozd_8;Вечеринки;Дананг;TG: @elenadrozd_8;@elenadrozd_8;;;;;;1;
35;@vitaliimoskalev;Игры и квизы;Дананг;TG: @vitaliimoskalev;@vitaliimoskalev;;;;;;1;
36;Фестиваль Bali Movement в Bangli;Фестивали;Нет в списке, Bali;IG: @balimovementfestival;;;;;@balimovementfestival;;1;
37;@chev_ch;Игры и квизы;Нячанг;TG: @chev_ch;@chev_ch;;;;;;1;
38;@gautamsv;Йога и здоровье;Нячанг;TG: @gautamsv;@gautamsv;;;;;;1;
39;@olegkrendelev;Игры и квизы;Нячанг;TG: @olegkrendelev;@olegkrendelev;;;;;;1;
40;@poaniki;Встречи и нетворкинг;Нячанг;TG: @poaniki;@poaniki;;;;;;1;
41;@svet_lana_knows;Мастер-классы;Нячанг;TG: @svet_lana_knows;@svet_lana_knows;;;;;;1;
42;@taiss_kotova;Мастер-классы;Нячанг;TG: @taiss_kotova;@taiss_kotova;;;;;;1;
43;@art_team_bali_adm;Мастер-классы;Переренан, Bali;TG: @art_team_bali_adm;@art_team_bali_adm;;;;;;1;
44;@aqua;Мастер-классы;Печату (Улувату), Bali;TG: @aqua | IG: @latribubali;@aqua;;;;@latribubali;;1;
45;Выступление Awen в Savaya;Концерты;Печату (Улувату), Bali;Сайт: https://www.savaya.com/event-calendar/august-23-2026;;;;;;https://www.savaya.com/event-calendar/august-23-2026;1;
46;Выступление Cristoph в Savaya;Концерты;Печату (Улувату), Bali;Сайт: https://www.savaya.com/event-calendar/august-22-2026;;;;;;https://www.savaya.com/event-calendar/august-22-2026;1;
47;Фестиваль Defected Bali в Savaya;Вечеринки;Печату (Улувату), Bali;Сайт: https://www.savaya.com/event-calendar/august-21-2026;;;;;;https://www.savaya.com/event-calendar/august-21-2026;1;архив
48;Фестиваль Sun Down Circle в Potato Head;Концерты;Семиньяк, Bali;Сайт: https://megatix.co.id/white-label/sun-down-circle;;;;;;https://megatix.co.id/white-label/sun-down-circle;1;архив
49;Genius Talks: идеи и знакомства в Nuanu;Конференции;Табанан, Bali;Сайт: https://megatix.co.id;;;;;;https://megatix.co.id;1;архив
50;"Выставка Lucid Dreams &amp; Repetisi Memori";Выставки;Табанан, Bali;Сайт: https://www.nuanu.com;;;;;;https://www.nuanu.com;1;архив
51;@slavapeace;Йога и здоровье;Убуд, Bali;TG: @slavapeace;@slavapeace;;;;;;1;архив
52;Квиз, плиз!;Игры и квизы;Чангу, Bali;Сайт: https://clck.ru/3RnDe2;;;;;;https://clck.ru/3RnDe2;1;
53;Танец кечак в Nuanu Creative City;Концерты;Чемаги, Bali;Сайт: https://www.nuanu.com/events/nuanu-kecak-dance;;;;;;https://www.nuanu.com/events/nuanu-kecak-dance;1;
